file, author, a.occurenceRatio, a.referenceEntriesRatio, a.eldestRefDelta, a.newestRefDelta, a.firstOccurrenceRatio, isRealAuthor
../asiaccs-proceedings/combined/2010_p112-vu.pdf,L. Mancini,0.05,0.0625,2,2,0.6824425404596763,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,A. Mei,0.05,0.0625,2,2,0.6824425404596763,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,R. Pietro,0.05,0.0625,2,2,0.6824425404596763,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,J. Radhakrishnan,0.05,0.0625,2,2,0.6824425404596763,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,S. Chen,0.05,0.0625,6,6,0.2965163822711661,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,C. Williamson,?,?,?,?,?,true
../asiaccs-proceedings/combined/2010_p112-vu.pdf,R. Safavi-Naini,?,?,?,?,?,true
../asiaccs-proceedings/combined/2010_p124-song.pdf,H. Wang,0.1090909090909091,0.10416666666666666,6,1,0.18179579465807919,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,S. King,0.05454545454545454,0.0625,2,1,0.24576165154832655,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,S. Savage,0.03636363636363636,0.041666666666666664,4,2,0.04643415702220832,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,G. Voelker,0.03636363636363636,0.041666666666666664,4,2,0.04643415702220832,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,K. Anagnostakis,0.03636363636363636,0.041666666666666664,3,3,0.09499905285091874,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,M. Polychronakis,0.03636363636363636,0.041666666666666664,3,3,0.09499905285091874,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,E. Markatos,0.03636363636363636,0.041666666666666664,3,3,0.09499905285091874,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,W. Halfond,0.03636363636363636,0.041666666666666664,5,4,0.18384422896465435,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,A. Orso,0.03636363636363636,0.041666666666666664,5,4,0.18384422896465435,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,C. Grier,0.03636363636363636,0.041666666666666664,2,1,0.24576165154832655,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,V. Venkatakrishnan,0.03636363636363636,0.041666666666666664,3,2,0.18479824835783548,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,P. Bisht,0.03636363636363636,0.041666666666666664,3,2,0.18479824835783548,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,P. Mavrommatis,0.07272727272727272,0.041666666666666664,3,2,0.03784798248357835,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,N. Provos,0.07272727272727272,0.041666666666666664,3,2,0.03784798248357835,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,W. Lee,0.03636363636363636,0.041666666666666664,3,1,0.04615264310290898,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,C. Kruegel,0.06363636363636363,0.041666666666666664,8,1,0.09499905285091874,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,B. Palmen,0.01818181818181818,0.020833333333333332,1,1,0.21970070089032015,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,R. Greenstadt,0.01818181818181818,0.020833333333333332,1,1,0.21970070089032015,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,O. Day,0.01818181818181818,0.020833333333333332,1,1,0.21970070089032015,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,B. Livshits,0.02727272727272727,0.020833333333333332,1,1,0.22857366280888333,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,B. Zorn,0.02727272727272727,0.020833333333333332,1,1,0.22857366280888333,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,P. Ratanaworabhan,0.02727272727272727,0.020833333333333332,1,1,0.22857366280888333,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,D. Moore,0.01818181818181818,0.020833333333333332,4,4,0.04779480763215514,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,C. Shannon,0.01818181818181818,0.020833333333333332,4,4,0.04779480763215514,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,D. Brown,0.01818181818181818,0.020833333333333332,4,4,0.04779480763215514,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,G. Inc,0.01818181818181818,0.020833333333333332,?,?,0.11490459806068189,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,T. Moore,0.01818181818181818,0.020833333333333332,3,3,0.046840788238974036,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,R. Clayton,0.01818181818181818,0.020833333333333332,3,3,0.046840788238974036,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,A. Moshchuk,0.01818181818181818,0.020833333333333332,1,1,0.25201751642164527,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,P. Choudhury,0.01818181818181818,0.020833333333333332,1,1,0.25201751642164527,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,H. Venter,0.01818181818181818,0.020833333333333332,1,1,0.25201751642164527,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,T. Project,0.01818181818181818,0.020833333333333332,3,3,0.048999061620269,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,L. International,0.01818181818181818,0.020833333333333332,2,2,0.05165751089221444,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,S. Co,0.01818181818181818,0.020833333333333332,2,2,0.05165751089221444,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,J. Dunagan,0.01818181818181818,0.020833333333333332,3,3,0.2610416015014076,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,O. Dubrovsky,0.01818181818181818,0.020833333333333332,3,3,0.2610416015014076,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,S. Esmeir,0.01818181818181818,0.020833333333333332,3,3,0.2610416015014076,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,C. Reis,0.01818181818181818,0.020833333333333332,3,3,0.2610416015014076,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,S. Bandhakavi,0.01818181818181818,0.020833333333333332,3,3,0.18479824835783548,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,P. Madhusudan,0.01818181818181818,0.020833333333333332,3,3,0.18479824835783548,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,M. Daniel,0.01818181818181818,0.020833333333333332,2,2,0.07690850539874976,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,C. Miller,0.01818181818181818,0.020833333333333332,2,2,0.07690850539874976,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,J. Honoroff,0.01818181818181818,0.020833333333333332,2,2,0.07690850539874976,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,Z. Su,0.01818181818181818,0.020833333333333332,4,4,0.22837658647471112,true
../asiaccs-proceedings/combined/2010_p124-song.pdf,G. Wassermann,0.01818181818181818,0.020833333333333332,4,4,0.22837658647471112,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,B. Baker,0.01818181818181818,0.020833333333333332,6,6,0.07690850539874976,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,J. Pincus,0.01818181818181818,0.020833333333333332,6,6,0.07690850539874976,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,K. Levchenko,0.01818181818181818,0.020833333333333332,2,2,0.04643415702220832,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,C. Kreibich,0.01818181818181818,0.020833333333333332,2,2,0.04643415702220832,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,B. Enright,0.01818181818181818,0.020833333333333332,2,2,0.04643415702220832,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,C. Kanich,0.01818181818181818,0.020833333333333332,2,2,0.04643415702220832,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,V. Paxson,0.01818181818181818,0.020833333333333332,2,2,0.04643415702220832,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,A. Sotirov,0.01818181818181818,0.020833333333333332,2,2,0.07690850539874976,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,R. Sekar,0.01818181818181818,0.020833333333333332,1,1,0.22909641977647283,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,U. Lab,0.02727272727272727,0.020833333333333332,?,?,0.21664060056302784,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,J. Wolf,0.01818181818181818,0.020833333333333332,1,1,0.08862996559274319,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,P. Manolios,0.01818181818181818,0.020833333333333332,4,4,0.22909641977647283,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,B. Yee,0.01818181818181818,0.020833333333333332,1,1,0.24127306850172037,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,D. Sehr,0.01818181818181818,0.020833333333333332,1,1,0.24127306850172037,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,N. Fullagar,0.01818181818181818,0.020833333333333332,1,1,0.24127306850172037,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,G. Dardyk,0.01818181818181818,0.020833333333333332,1,1,0.24127306850172037,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,S. Okasaka,0.01818181818181818,0.020833333333333332,1,1,0.24127306850172037,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,R. Muth,0.01818181818181818,0.020833333333333332,1,1,0.24127306850172037,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,N. Narula,0.01818181818181818,0.020833333333333332,1,1,0.24127306850172037,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,T. Ormandy,0.01818181818181818,0.020833333333333332,1,1,0.24127306850172037,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,J. Chen,0.01818181818181818,0.020833333333333332,1,1,0.24127306850172037,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,C. Berghe,0.01818181818181818,0.020833333333333332,4,4,0.22837658647471112,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,T. Pietraszek,0.01818181818181818,0.020833333333333332,4,4,0.22837658647471112,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,F. Monrose,0.02727272727272727,0.020833333333333332,2,2,0.05165751089221444,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,M. Rajab,0.02727272727272727,0.020833333333333332,2,2,0.05165751089221444,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,S. Jha,0.03636363636363636,0.020833333333333332,4,4,0.18179579465807919,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,J. Newsome,0.03636363636363636,0.020833333333333332,4,4,0.18179579465807919,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,D. Brumley,0.03636363636363636,0.020833333333333332,4,4,0.18179579465807919,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,D. Song,0.03636363636363636,0.020833333333333332,4,4,0.18179579465807919,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,M. Cruz,0.02727272727272727,0.020833333333333332,2,2,0.01029089771660932,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,L. Moura,0.01818181818181818,0.020833333333333332,4,4,0.5438536127619643,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,B. Dutertre,0.01818181818181818,0.020833333333333332,4,4,0.5438536127619643,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,C. Guo,0.01818181818181818,0.020833333333333332,6,6,0.25950891460744446,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,A. Zugenmaier,0.01818181818181818,0.020833333333333332,6,6,0.25950891460744446,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,D. Simon,0.01818181818181818,0.020833333333333332,6,6,0.25950891460744446,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,W. Cui,0.01818181818181818,0.020833333333333332,3,3,0.27053487644666874,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,M. Locasto,0.01818181818181818,0.020833333333333332,3,3,0.27053487644666874,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,M. Peinado,0.01818181818181818,0.020833333333333332,3,3,0.27053487644666874,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,W. Dormann,0.01818181818181818,0.020833333333333332,2,2,0.23889583984985924,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,D. Plakosh,0.01818181818181818,0.020833333333333332,2,2,0.23889583984985924,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,D. Peck,0.01818181818181818,0.020833333333333332,3,3,0.1046031445349498,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,B. Feinstein,0.01818181818181818,0.020833333333333332,3,3,0.1046031445349498,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,J. Elson,0.01818181818181818,0.020833333333333332,2,2,0.2416484203941195,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,J. Lorch,0.01818181818181818,0.020833333333333332,2,2,0.2416484203941195,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,J. Howell,0.01818181818181818,0.020833333333333332,2,2,0.2416484203941195,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,J. Douceur,0.01818181818181818,0.020833333333333332,2,2,0.2416484203941195,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,J. Giffin,0.01818181818181818,0.020833333333333332,1,1,0.0906005630278386,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,A. Lanzi,0.01818181818181818,0.020833333333333332,1,1,0.0906005630278386,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,M. Sharif,0.01818181818181818,0.020833333333333332,1,1,0.0906005630278386,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,T. Toth,0.01818181818181818,0.020833333333333332,8,8,0.09499905285091874,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,C. Seifert,0.01818181818181818,0.020833333333333332,?,?,0.24493275241523016,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,R. Steenson,0.01818181818181818,0.020833333333333332,?,?,0.24493275241523016,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,D. Dagon,0.01818181818181818,0.020833333333333332,3,3,0.04615264310290898,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,G. Gu,0.01818181818181818,0.020833333333333332,3,3,0.04615264310290898,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,C. Lee,0.01818181818181818,0.020833333333333332,3,3,0.04615264310290898,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,A. Nguyen-Tuong,0.01818181818181818,0.020833333333333332,5,5,0.22837658647471112,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,D. Greene,0.01818181818181818,0.020833333333333332,5,5,0.22837658647471112,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,J. Shirley,0.01818181818181818,0.020833333333333332,5,5,0.22837658647471112,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,D. Evans,0.01818181818181818,0.020833333333333332,5,5,0.22837658647471112,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,S. Guarnieri,0.01818181818181818,0.020833333333333332,5,5,0.22837658647471112,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,P. Wurzinger,0.045454545454545456,0.020833333333333332,1,1,0.22808883328120114,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,E. Kirda,0.045454545454545456,0.020833333333333332,1,1,0.22808883328120114,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,M. Egele,0.045454545454545456,0.020833333333333332,1,1,0.22808883328120114,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,D. McNamee,0.045454545454545456,0.020833333333333332,3,3,0.03784798248357835,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,N. Modadugu,0.045454545454545456,0.020833333333333332,3,3,0.03784798248357835,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,K. Wang,0.045454545454545456,0.020833333333333332,3,3,0.03784798248357835,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,J. Nazario,0.02727272727272727,0.020833333333333332,1,1,0.2139349390053175,false
../asiaccs-proceedings/combined/2010_p124-song.pdf,X. Han,?,?,?,?,?,true
../asiaccs-proceedings/combined/2010_p124-song.pdf,C. Song,?,?,?,?,?,true
../asiaccs-proceedings/combined/2010_p124-song.pdf,J. Zhuge,?,?,?,?,?,true
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,C. Kruegel,0.12941176470588234,0.125,4,2,0.767093690248566,true
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,E. Kirda,0.12941176470588234,0.125,4,2,0.767093690248566,true
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,N. Jovanovic,0.10588235294117647,0.1,4,2,0.767093690248566,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,J. Grossman,0.07058823529411765,0.07500000000000001,2,1,0.08403441682600382,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,R. Hansen,0.047058823529411764,0.05,2,2,0.1558699808795411,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,G. Maone,0.058823529411764705,0.05,2,1,0.23219885277246655,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,G. Wassermann,0.047058823529411764,0.05,3,2,0.7782026768642447,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,Z. Su,0.047058823529411764,0.05,3,2,0.7782026768642447,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,G. Vigna,0.047058823529411764,0.05,3,2,0.7984130019120459,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,A. Aiken,0.023529411764705882,0.025,4,4,0.7918164435946463,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,Y. Xie,0.023529411764705882,0.025,4,4,0.7918164435946463,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,M. Mahemoff,0.03529411764705882,0.025,1,1,0.10787762906309752,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,M. Corporation,0.023529411764705882,0.025,?,?,0.24290630975143404,false
../asiaccs-proceedings/combined/2010_p135-balduzzi.pdf,A. Moshchuk,0.023529411764705882,0.025,4,4,0.8153154875717017,false
